GeneID	GeneName	GeneDescription	Transcript#	Strand	Chromosome	Start	End	ExonLength	Source	IsConfounded
MED28_4_+_1	MED28	mediator complex subunit 28	1	+	4	17614628	17625628	2394	hg38_refGene	False
FAM184B_4_-_1	FAM184B	family with sequence similarity 184, member B	1	-	4	17632086	17781512	3842	hg38_refGene	False
DCAF16_4_-_1	DCAF16	DDB1 and CUL4 associated factor 16	1	-	4	17800655	17810758	4548	hg38_refGene	False
NCAPG_4_+_1	NCAPG	non-SMC condensin I complex, subunit G	2	+	4	17810813	17844864	4752	hg38_refGene	True
LCORL_4_-_1	LCORL	ligand dependent nuclear receptor corepressor-like	2	-	4	17843216	18021860	7729	hg38_refGene	True
SLIT2_4_+_1	SLIT2	slit homolog 2 (Drosophila)	3	+	4	20253564	20620561	6406	hg38_refGene	True
SLIT2-IT1_4_+_1	SLIT2-IT1	SLIT2 intronic transcript 1 (non-protein coding)	1	+	4	20392189	20394856	601	hg38_refGene	True
MIR218-1_4_+_1	MIR218-1	microRNA 218-1	1	+	4	20528275	20528384	110	hg38_refGene	True
PACRGL_4_+_1	PACRGL	PARK2 co-regulated-like	5	+	4	20700413	20728357	2296	hg38_refGene	False
KCNIP4_4_-_1	KCNIP4	Kv channel interacting protein 4	6	-	4	20728616	21948751	3166	hg38_refGene	True
MIR7978_4_-_1	MIR7978	microRNA mir-7978	1	-	4	21464700	21464758	59	hg38_refGene	True
KCNIP4-IT1_4_-_1	KCNIP4-IT1	KCNIP4 intronic transcript 1 (non-protein coding)	1	-	4	21843341	21853188	9848	hg38_refGene	True
LOC100505912_4_-_1	LOC100505912		1	-	4	22327366	22339666	886	hg38_refGene	False
ADGRA3_4_-_1	ADGRA3		1	-	4	22387374	22516054	4567	hg38_refGene	False
GBA3_4_+_1	GBA3	glucosidase, beta, acid 3	6	+	4	22692914	22819572	2223	hg38_refGene	False
PPARGC1A_4_-_1	PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	1	-	4	23792021	23890077	6318	hg38_refGene	False
MIR573_4_-_1	MIR573	microRNA 573	1	-	4	24520192	24520290	99	hg38_refGene	False
DHX15_4_-_1	DHX15	DEAH (Asp-Glu-Ala-His) box helicase 15	1	-	4	24527465	24584561	3015	hg38_refGene	False
SOD3_4_+_1	SOD3	superoxide dismutase 3, extracellular	1	+	4	24795463	24800845	1529	hg38_refGene	False
CCDC149_4_-_1	CCDC149	coiled-coil domain containing 149	2	-	4	24806117	24980204	4224	hg38_refGene	False
LGI2_4_-_1	LGI2	leucine-rich repeat LGI family, member 2	1	-	4	24998849	25030792	6339	hg38_refGene	False
SEPSECS_4_-_1	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	1	-	4	25120005	25160582	5645	hg38_refGene	False
SEPSECS-AS1_4_+_1	SEPSECS-AS1	SEPSECS antisense RNA 1 (head to head)	1	+	4	25160672	25198505	1120	hg38_refGene	False
PI4K2B_4_+_1	PI4K2B	phosphatidylinositol 4-kinase type 2 beta	1	+	4	25234031	25279209	3601	hg38_refGene	False
ZCCHC4_4_+_1	ZCCHC4	zinc finger, CCHC domain containing 4	1	+	4	25312774	25370383	2797	hg38_refGene	False
ANAPC4_4_+_1	ANAPC4	anaphase promoting complex subunit 4	2	+	4	25377226	25418498	2675	hg38_refGene	False
SLC34A2_4_+_1	SLC34A2	solute carrier family 34 (type II sodium/phosphate contransporter), member 2	3	+	4	25655813	25678746	4252	hg38_refGene	False
SEL1L3_4_-_1	SEL1L3	sel-1 suppressor of lin-12-like 3 (C. elegans)	3	-	4	25747427	25863595	4754	hg38_refGene	False
SMIM20_4_+_1	SMIM20	small integral membrane protein 20	1	+	4	25914192	25929879	1014	hg38_refGene	False
RBPJ_4_+_1	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	4	+	4	26319710	26435130	6278	hg38_refGene	False
CCKAR_4_-_1	CCKAR	cholecystokinin A receptor	1	-	4	26481396	26490420	1682	hg38_refGene	False
TBC1D19_4_+_1	TBC1D19	TBC1 domain family, member 19	2	+	4	26583924	26756213	3117	hg38_refGene	False
STIM2_4_+_1	STIM2	stromal interaction molecule 2	3	+	4	26860691	27025381	5246	hg38_refGene	False
LOC101929199_4_+_1	LOC101929199		1	+	4	27217479	27282225	2802	hg38_refGene	False
MIR4275_4_+_1	MIR4275	microRNA 4275	1	+	4	28819582	28819668	87	hg38_refGene	False
PCDH7_4_+_1	PCDH7	protocadherin 7	4	+	4	30720408	31146801	9938	hg38_refGene	False
LOC102723778_4_+_1	LOC102723778		1	+	4	31171144	31211674	506	hg38_refGene	False
LOC102723828_4_+_1	LOC102723828		1	+	4	31997379	32155406	752	hg38_refGene	False
LOC101928622_4_-_1	LOC101928622		1	-	4	33896341	34039893	2402	hg38_refGene	False
ARAP2_4_-_1	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	1	-	4	36065998	36244357	7362	hg38_refGene	True
LOC439933_4_+_1	LOC439933		2	+	4	36244116	36274215	1780	hg38_refGene	True
DTHD1_4_+_1	DTHD1	death domain containing 1	2	+	4	36281615	36344785	3780	hg38_refGene	False
MIR1255B1_4_-_1	MIR1255B1	microRNA 1255b-1	1	-	4	36426366	36426428	63	hg38_refGene	False
MIR4801_4_-_1	MIR4801	microRNA 4801	1	-	4	37241910	37241991	82	hg38_refGene	False
NWD2_4_+_1	NWD2	NACHT and WD repeat domain containing 2	1	+	4	37245068	37449465	7477	hg38_refGene	False
C4orf19_4_+_1	C4orf19	chromosome 4 open reading frame 19	2	+	4	37453930	37593510	3794	hg38_refGene	True
RELL1_4_-_1	RELL1	RELT-like 1	2	-	4	37590800	37686377	4036	hg38_refGene	True
PGM2_4_+_1	PGM2	phosphoglucomutase 2	1	+	4	37826660	37862938	3238	hg38_refGene	False
TBC1D1_4_+_1	TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	5	+	4	37891084	38139175	6896	hg38_refGene	True
PTTG2_4_+_1	PTTG2	pituitary tumor-transforming 2	1	+	4	37960435	37961010	576	hg38_refGene	True
LINC01258_4_-_1	LINC01258		1	-	4	38420662	38523180	2059	hg38_refGene	False
KLF3-AS1_4_-_1	KLF3-AS1		1	-	4	38612701	38664628	2368	hg38_refGene	True
KLF3_4_+_1	KLF3	Kruppel-like factor 3 (basic)	1	+	4	38664169	38701508	5615	hg38_refGene	True
TLR10_4_-_1	TLR10	toll-like receptor 10	5	-	4	38772239	38782990	3990	hg38_refGene	False
TLR1_4_-_1	TLR1	toll-like receptor 1	1	-	4	38796255	38804791	2851	hg38_refGene	False
TLR6_4_-_1	TLR6	toll-like receptor 6	1	-	4	38823708	38856817	5887	hg38_refGene	False
FAM114A1_4_+_1	FAM114A1	family with sequence similarity 114, member A1	2	+	4	38867733	38945744	4138	hg38_refGene	True
MIR574_4_+_1	MIR574	microRNA 574	1	+	4	38868032	38868127	96	hg38_refGene	True
TMEM156_4_-_1	TMEM156	transmembrane protein 156	2	-	4	38966746	39032421	1933	hg38_refGene	False
KLHL5_4_+_1	KLHL5	kelch-like family member 5	4	+	4	39044831	39126233	7984	hg38_refGene	False
WDR19_4_+_1	WDR19	WD repeat domain 19	1	+	4	39182404	39285810	4520	hg38_refGene	False
RFC1_4_-_1	RFC1	replication factor C (activator 1) 1, 145kDa	2	-	4	39287449	39366381	4899	hg38_refGene	False
KLB_4_+_1	KLB	klotho beta	1	+	4	39406853	39451533	6079	hg38_refGene	True
MIR5591_4_+_1	MIR5591	microRNA 5591	1	+	4	39411910	39411974	65	hg38_refGene	True
RPL9_4_-_1	RPL9	ribosomal protein L9	2	-	4	39454125	39458948	896	hg38_refGene	False
LIAS_4_+_1	LIAS	lipoic acid synthetase	5	+	4	39459024	39477651	1958	hg38_refGene	False
LOC401127_4_+_1	LOC401127	WD repeat domain 5 pseudogene	1	+	4	39480255	39481903	1649	hg38_refGene	False
UGDH_4_-_1	UGDH	UDP-glucose 6-dehydrogenase	3	-	4	39498755	39527598	3196	hg38_refGene	False
UGDH-AS1_4_+_1	UGDH-AS1	UGDH antisense RNA 1	1	+	4	39527839	39594707	2967	hg38_refGene	True
SMIM14_4_-_1	SMIM14	small integral membrane protein 14	1	-	4	39550926	39638861	1658	hg38_refGene	True
UBE2K_4_+_1	UBE2K	ubiquitin-conjugating enzyme E2K	3	+	4	39698044	39782790	5243	hg38_refGene	False
PDS5A_4_-_1	PDS5A	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)	2	-	4	39822863	39977956	7594	hg38_refGene	False
LOC344967_4_-_1	LOC344967	acyl-CoA thioesterase 7 pseudogene	1	-	4	40042917	40057199	1613	hg38_refGene	True
N4BP2_4_+_1	N4BP2	NEDD4 binding protein 2	1	+	4	40056904	40158252	9666	hg38_refGene	True
RHOH_4_+_1	RHOH	ras homolog family member H	12	+	4	40191011	40244764	3279	hg38_refGene	False
LOC101060498_4_+_1	LOC101060498		2	+	4	40307185	40330419	1311	hg38_refGene	False
CHRNA9_4_+_1	CHRNA9	cholinergic receptor, nicotinic, alpha 9 (neuronal)	1	+	4	40335329	40355217	2276	hg38_refGene	False
RBM47_4_-_1	RBM47	RNA binding motif protein 47	2	-	4	40423255	40629866	5248	hg38_refGene	True
MIR4802_4_-_1	MIR4802	microRNA 4802	1	-	4	40502040	40502119	80	hg38_refGene	True
NSUN7_4_+_1	NSUN7	NOP2/Sun domain family, member 7	1	+	4	40749897	40809985	3698	hg38_refGene	False
APBB2_4_-_1	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2	7	-	4	40810027	41214618	9189	hg38_refGene	False
UCHL1-AS1_4_-_1	UCHL1-AS1	UCHL1 antisense RNA 1 (head to head)	1	-	4	41220074	41256727	592	hg38_refGene	False
UCHL1_4_+_1	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	1	+	4	41256881	41268429	1124	hg38_refGene	False
LIMCH1_4_+_1	LIMCH1	LIM and calponin homology domains 1	7	+	4	41359607	41700044	6766	hg38_refGene	False
PHOX2B_4_-_1	PHOX2B	paired-like homeobox 2b	1	-	4	41744082	41748970	3030	hg38_refGene	False
LINC00682_4_-_1	LINC00682	long intergenic non-protein coding RNA 682	1	-	4	41879521	41882611	1425	hg38_refGene	False
TMEM33_4_+_1	TMEM33	transmembrane protein 33	1	+	4	41935120	41960807	7717	hg38_refGene	False
DCAF4L1_4_+_1	DCAF4L1	DDB1 and CUL4 associated factor 4-like 1	1	+	4	41981696	41986467	4772	hg38_refGene	False
SLC30A9_4_+_1	SLC30A9	solute carrier family 30 (zinc transporter), member 9	1	+	4	41990506	42087534	3261	hg38_refGene	False
BEND4_4_-_1	BEND4	BEN domain containing 4	2	-	4	42110853	42152878	8850	hg38_refGene	False
SHISA3_4_+_1	SHISA3	shisa family member 3	1	+	4	42397839	42402487	1971	hg38_refGene	False
ATP8A1_4_-_1	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	2	-	4	42408375	42657105	8342	hg38_refGene	False
GRXCR1_4_+_1	GRXCR1	glutaredoxin, cysteine rich 1	1	+	4	42893266	43030658	992	hg38_refGene	False
LVCAT1_4_+_1	LVCAT1		2	+	4	44016861	44022061	2821	hg38_refGene	False
KCTD8_4_-_1	KCTD8	potassium channel tetramerization domain containing 8	1	-	4	44173903	44448807	2593	hg38_refGene	False
YIPF7_4_-_1	YIPF7	Yip1 domain family, member 7	1	-	4	44622337	44651641	937	hg38_refGene	False
GUF1_4_+_1	GUF1	GUF1 GTPase homolog (S. cerevisiae)	1	+	4	44678416	44700680	4216	hg38_refGene	False
GNPDA2_4_-_1	GNPDA2	glucosamine-6-phosphate deaminase 2	5	-	4	44701795	44726634	2377	hg38_refGene	False
GABRG1_4_-_1	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	1	-	4	46035770	46124065	6768	hg38_refGene	False
GABRA2_4_-_1	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2	3	-	4	46249565	46390039	3257	hg38_refGene	False
COX7B2_4_-_1	COX7B2	cytochrome c oxidase subunit VIIb2	1	-	4	46734830	46909235	543	hg38_refGene	False
GABRA4_4_-_1	GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4	3	-	4	46918900	46994407	11973	hg38_refGene	False
GABRB1_4_+_1	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1	1	+	4	47031278	47426430	2211	hg38_refGene	False
COMMD8_4_-_1	COMMD8	COMM domain containing 8	1	-	4	47450794	47463659	1411	hg38_refGene	False
ATP10D_4_+_1	ATP10D	ATPase, class V, type 10D	1	+	4	47485393	47593486	6550	hg38_refGene	False
CORIN_4_-_1	CORIN	corin, serine peptidase	3	-	4	47593998	47838106	5320	hg38_refGene	True
MIR8053_4_+_1	MIR8053	microRNA mir-8053	1	+	4	47652669	47652741	73	hg38_refGene	True
LOC101927179_4_+_1	LOC101927179		2	+	4	47831345	47896848	626	hg38_refGene	True
NFXL1_4_-_1	NFXL1	nuclear transcription factor, X-box binding-like 1	4	-	4	47847233	47914667	4151	hg38_refGene	True
LOC101927157_4_+_1	LOC101927157		1	+	4	47914227	47990737	1666	hg38_refGene	True
CNGA1_4_-_1	CNGA1	cyclic nucleotide gated channel alpha 1	2	-	4	47935977	48012944	3021	hg38_refGene	True
NIPAL1_4_+_1	NIPAL1	NIPA-like domain containing 1	1	+	4	48016774	48037063	2190	hg38_refGene	False
TXK_4_-_1	TXK	TXK tyrosine kinase	1	-	4	48066393	48134256	2914	hg38_refGene	False
TEC_4_-_1	TEC	tec protein tyrosine kinase; transient erythroblastopenia of childhood	1	-	4	48135783	48269797	3620	hg38_refGene	False
SLAIN2_4_+_1	SLAIN2	SLAIN motif family, member 2	1	+	4	48341596	48426198	6011	hg38_refGene	False
SLC10A4_4_+_1	SLC10A4	solute carrier family 10, member 4	1	+	4	48483343	48489524	2118	hg38_refGene	False
ZAR1_4_+_1	ZAR1	zygote arrest 1	1	+	4	48490252	48494389	1460	hg38_refGene	False
FRYL_4_-_1	FRYL	FRY-like	1	-	4	48497363	48780299	11706	hg38_refGene	False
OCIAD1_4_+_1	OCIAD1	OCIA domain containing 1	6	+	4	48831043	48861817	2332	hg38_refGene	False
OCIAD2_4_-_1	OCIAD2	OCIA domain containing 2	5	-	4	48885380	48906828	825	hg38_refGene	False
CWH43_4_+_1	CWH43	cell wall biogenesis 43 C-terminal homolog (S. cerevisiae)	2	+	4	48986248	49062078	2614	hg38_refGene	False
DCUN1D4_4_+_1	DCUN1D4	DCN1, defective in cullin neddylation 1, domain containing 4	4	+	4	51843000	51916837	4702	hg38_refGene	False
LRRC66_4_-_1	LRRC66	leucine rich repeat containing 66	1	-	4	51993700	52017620	3329	hg38_refGene	False
SGCB_4_-_1	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	1	-	4	52020695	52038319	4279	hg38_refGene	False
SPATA18_4_+_1	SPATA18	spermatogenesis associated 18	3	+	4	52051331	52097306	4460	hg38_refGene	False
USP46_4_-_1	USP46	ubiquitin specific peptidase 46	4	-	4	52590961	52659335	8429	hg38_refGene	False
USP46-AS1_4_+_1	USP46-AS1	USP46 antisense RNA 1	1	+	4	52659406	52661498	878	hg38_refGene	False
DANCR_4_+_1	DANCR	differentiation antagonizing non-protein coding RNA	1	+	4	52712454	52714138	855	hg38_refGene	True
MIR4449_4_+_1	MIR4449	microRNA 4449	1	+	4	52712682	52712747	66	hg38_refGene	True
SNORA26_4_+_1	SNORA26	small nucleolar RNA, H/ACA box 26	1	+	4	52713249	52713370	122	hg38_refGene	True
ERVMER34-1_4_-_1	ERVMER34-1	endogenous retrovirus group MER34, member 1	2	-	4	52743517	52751640	2985	hg38_refGene	False
LOC152578_4_+_1	LOC152578		1	+	4	52789994	52815464	727	hg38_refGene	False
RASL11B_4_+_1	RASL11B	RAS-like, family 11, member B	1	+	4	52862328	52866835	1957	hg38_refGene	False
SCFD2_4_-_1	SCFD2	sec1 family domain containing 2	1	-	4	52872984	53366075	3174	hg38_refGene	False
FIP1L1_4_+_1	FIP1L1	factor interacting with PAPOLA and CPSF1	3	+	4	53377653	53459936	2485	hg38_refGene	False
LNX1_4_-_1	LNX1	ligand of numb-protein X 1, E3 ubiquitin protein ligase	2	-	4	53460270	53591586	3505	hg38_refGene	True
LNX1-AS1_4_+_1	LNX1-AS1	LNX1 antisense RNA 1	1	+	4	53500077	53523276	553	hg38_refGene	True
LNX1-AS2_4_+_1	LNX1-AS2	LNX1 antisense RNA 2	1	+	4	53592956	53605381	1962	hg38_refGene	False
LOC100506444_4_+_1	LOC100506444		1	+	4	53695901	53734358	1616	hg38_refGene	False
RPL21P44_4_-_1	RPL21P44	ribosomal protein L21 pseudogene 44	1	-	4	53985499	53987282	1784	hg38_refGene	False
CHIC2_4_-_1	CHIC2	cysteine-rich hydrophobic domain 2	1	-	4	54009791	54064648	1150	hg38_refGene	False
GSX2_4_+_1	GSX2	GS homeobox 2	1	+	4	54100081	54101955	1212	hg38_refGene	False
PDGFRA_4_+_1	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	1	+	4	54229097	54298245	6574	hg38_refGene	False
KIT_4_+_1	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2	+	4	54657928	54740715	5176	hg38_refGene	False
KDR_4_-_1	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	1	-	4	55078259	55125595	6055	hg38_refGene	False
SRD5A3_4_+_1	SRD5A3	steroid 5 alpha-reductase 3	1	+	4	55346221	55373099	4081	hg38_refGene	True
SRD5A3-AS1_4_-_1	SRD5A3-AS1	SRD5A3 antisense RNA 1	1	-	4	55366601	55385580	926	hg38_refGene	True
TMEM165_4_+_1	TMEM165	transmembrane protein 165	2	+	4	55395913	55426175	2078	hg38_refGene	False
CLOCK_4_-_1	CLOCK	clock circadian regulator	2	-	4	55427901	55546909	11109	hg38_refGene	False
PDCL2_4_-_1	PDCL2	phosducin-like 2	1	-	4	55556525	55592212	861	hg38_refGene	False
NMU_4_-_1	NMU	neuromedin U	4	-	4	55595229	55636698	973	hg38_refGene	False
LOC644145_4_+_1	LOC644145	exocyst complex component 1 pseudogene	1	+	4	55820071	55837264	388	hg38_refGene	False
EXOC1_4_+_1	EXOC1	exocyst complex component 1	3	+	4	55853650	55905078	3582	hg38_refGene	False
CEP135_4_+_1	CEP135	centrosomal protein 135kDa	1	+	4	55948808	56033363	5735	hg38_refGene	False
MIR7641-2_4_+_1	MIR7641-2	microRNA mir-7641-2	1	+	4	56097429	56097478	50	hg38_refGene	False
KIAA1211_4_+_1	KIAA1211		1	+	4	56170195	56330724	7013	hg38_refGene	False
AASDH_4_-_1	AASDH	aminoadipate-semialdehyde dehydrogenase	6	-	4	56338285	56387508	3906	hg38_refGene	False
PPAT_4_-_1	PPAT	phosphoribosyl pyrophosphate amidotransferase	1	-	4	56393363	56435636	3702	hg38_refGene	False
PAICS_4_+_1	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	3	+	4	56435749	56461368	3519	hg38_refGene	False
SRP72_4_+_1	SRP72	signal recognition particle 72kDa	2	+	4	56467596	56503681	3876	hg38_refGene	False
ARL9_4_+_1	ARL9	ADP-ribosylation factor-like 9	1	+	4	56505209	56523892	836	hg38_refGene	False
THEGL_4_+_1	THEGL	theg spermatid protein-like	1	+	4	56530609	56603323	1466	hg38_refGene	False
HOPX_4_-_1	HOPX	HOP homeobox	5	-	4	56647988	56681706	1896	hg38_refGene	False
SPINK2_4_-_1	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	9	-	4	56809860	56821869	1033	hg38_refGene	False
REST_4_+_1	REST	RE1-silencing transcription factor	2	+	4	56907876	56935844	7460	hg38_refGene	False
NOA1_4_-_1	NOA1	nitric oxide associated 1	1	-	4	56963350	56977660	2272	hg38_refGene	False
POLR2B_4_+_1	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	3	+	4	56978640	57031162	4223	hg38_refGene	True
IGFBP7_4_-_1	IGFBP7	insulin-like growth factor binding protein 7	2	-	4	57031071	57110385	1317	hg38_refGene	True
IGFBP7-AS1_4_+_1	IGFBP7-AS1	IGFBP7 antisense RNA 1	1	+	4	57109762	57205299	1389	hg38_refGene	True
LOC101928851_4_+_1	LOC101928851		1	+	4	57425872	57465986	1038	hg38_refGene	False
MIR548AG1_4_+_1	MIR548AG1	microRNA 548ag-1	1	+	4	60922619	60922684	66	hg38_refGene	False
ADGRL3_4_+_1	ADGRL3		1	+	4	61497121	62072450	6125	hg38_refGene	True
ADGRL3-AS1_4_-_1	ADGRL3-AS1		1	-	4	62071755	62161765	467	hg38_refGene	True
TECRL_4_-_1	TECRL	trans-2,3-enoyl-CoA reductase-like	1	-	4	64278459	64409460	2814	hg38_refGene	False
LOC401134_4_-_1	LOC401134		1	-	4	64914281	65004500	4079	hg38_refGene	False
EPHA5_4_-_1	EPHA5	EPH receptor A5	5	-	4	65319563	65670495	9835	hg38_refGene	True
EPHA5-AS1_4_+_1	EPHA5-AS1		1	+	4	65669961	65693386	1177	hg38_refGene	True
MIR1269A_4_+_1	MIR1269A	microRNA 1269a	1	+	4	66276824	66276928	105	hg38_refGene	False
LOC101927237_4_-_1	LOC101927237		1	-	4	67417305	67422000	1957	hg38_refGene	False
CENPC_4_-_1	CENPC	centromere protein C	1	-	4	67472271	67545538	3349	hg38_refGene	False
STAP1_4_+_1	STAP1	signal transducing adaptor family member 1	1	+	4	67558728	67606898	1511	hg38_refGene	False
UBA6_4_-_1	UBA6	ubiquitin-like modifier activating enzyme 6	1	-	4	67615761	67701171	6447	hg38_refGene	False
UBA6-AS1_4_+_1	UBA6-AS1	UBA6 antisense RNA 1 (head to head)	1	+	4	67701278	67722504	2290	hg38_refGene	False
GNRHR_4_-_1	GNRHR	gonadotropin-releasing hormone receptor	2	-	4	67737381	67756086	5837	hg38_refGene	False
TMPRSS11D_4_-_1	TMPRSS11D	transmembrane protease, serine 11D	1	-	4	67820876	67883998	2783	hg38_refGene	False
TMPRSS11A_4_-_1	TMPRSS11A	transmembrane protease, serine 11A	2	-	4	67910301	67963514	2428	hg38_refGene	False
TMPRSS11GP_4_-_1	TMPRSS11GP	transmembrane protease, serine 11G, pseudogene	1	-	4	67991812	67997439	341	hg38_refGene	False
TMPRSS11F_4_-_1	TMPRSS11F	transmembrane protease, serine 11F	1	-	4	68053198	68129869	2077	hg38_refGene	True
LOC550113_4_+_1	LOC550113		1	+	4	68053508	68073233	2787	hg38_refGene	True
SYT14P1_4_-_1	SYT14P1		1	-	4	68060610	68063297	2628	hg38_refGene	True
FTLP10_4_+_1	FTLP10	ferritin, light polypeptide pseudogene 10	1	+	4	68182292	68212470	1501	hg38_refGene	True
TMPRSS11BNL_4_-_1	TMPRSS11BNL	TMPRSS11B N-terminal like	1	-	4	68184129	68218080	1383	hg38_refGene	True
TMPRSS11B_4_-_1	TMPRSS11B	transmembrane protease, serine 11B	1	-	4	68226653	68245694	2645	hg38_refGene	False
YTHDC1_4_-_1	YTHDC1	YTH domain containing 1	2	-	4	68310387	68350106	6249	hg38_refGene	False
TMPRSS11E_4_+_1	TMPRSS11E	transmembrane protease, serine 11E	1	+	4	68447449	68497604	2136	hg38_refGene	False
UGT2B17_4_-_1	UGT2B17	UDP glucuronosyltransferase 2 family, polypeptide B17	1	-	4	68537185	68568527	2076	hg38_refGene	False
UGT2B15_4_-_1	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15	1	-	4	68646597	68670776	2258	hg38_refGene	False
UGT2B10_4_+_1	UGT2B10	UDP glucuronosyltransferase 2 family, polypeptide B10	3	+	4	68815993	68832017	2752	hg38_refGene	False
UGT2A3_4_-_1	UGT2A3	UDP glucuronosyltransferase 2 family, polypeptide A3	2	-	4	68928459	68951791	3066	hg38_refGene	False
UGT2B10_4_-_1	UGT2B10	UDP glucuronosyltransferase 2 family, polypeptide B10	3	-	4	69004577	69020397	1862	hg38_refGene	False
UGT2B7_4_+_1	UGT2B7	UDP glucuronosyltransferase 2 family, polypeptide B7	1	+	4	69096475	69112987	1887	hg38_refGene	False
UGT2B11_4_-_1	UGT2B11	UDP glucuronosyltransferase 2 family, polypeptide B11	1	-	4	69200331	69214731	1708	hg38_refGene	False
UGT2B28_4_+_1	UGT2B28	UDP glucuronosyltransferase 2 family, polypeptide B28	2	+	4	69280499	69295050	1833	hg38_refGene	False
UGT2B4_4_-_1	UGT2B4	UDP glucuronosyltransferase 2 family, polypeptide B4	3	-	4	69480165	69526014	2431	hg38_refGene	False
UGT2A2_4_-_1	UGT2A2	UDP glucuronosyltransferase 2 family, polypeptide A2	2	-	4	69588417	69639642	2568	hg38_refGene	True
UGT2A1_4_-_1	UGT2A1	UDP glucuronosyltransferase 2 family, polypeptide A1, complex locus	4	-	4	69588417	69653249	3417	hg38_refGene	True
SULT1B1_4_-_1	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	1	-	4	69726968	69760712	1309	hg38_refGene	False
SULT1E1_4_-_1	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	1	-	4	69841212	69860152	1780	hg38_refGene	False
CSN1S1_4_+_1	CSN1S1	casein alpha s1	2	+	4	69931081	69946570	981	hg38_refGene	False
CSN2_4_-_1	CSN2	casein beta	2	-	4	69955256	69961011	1070	hg38_refGene	False
STATH_4_+_1	STATH	statherin	2	+	4	69995931	70002456	600	hg38_refGene	False
HTN3_4_+_1	HTN3	histatin 3	1	+	4	70028413	70036538	578	hg38_refGene	False
HTN1_4_+_1	HTN1	histatin 1	1	+	4	70050415	70058848	570	hg38_refGene	False
CSN1S2AP_4_+_1	CSN1S2AP	casein alpha s2-like A, pseudogene	1	+	4	70067386	70085271	777	hg38_refGene	False
CSN1S2BP_4_+_1	CSN1S2BP	casein alpha s2-like B, pseudogene	1	+	4	70133604	70146704	432	hg38_refGene	False
PRR27_4_+_1	PRR27	proline rich 27	1	+	4	70154187	70166609	4797	hg38_refGene	False
ODAM_4_+_1	ODAM	odontogenic, ameloblast asssociated	1	+	4	70196527	70204576	1288	hg38_refGene	False
FDCSP_4_+_1	FDCSP	follicular dendritic cell secreted protein	1	+	4	70226071	70235251	565	hg38_refGene	False
CSN3_4_+_1	CSN3	casein kappa	1	+	4	70242616	70251428	808	hg38_refGene	False
CABS1_4_+_1	CABS1	calcium-binding protein, spermatid-specific 1	1	+	4	70334954	70337116	1544	hg38_refGene	False
SMR3A_4_+_1	SMR3A	submaxillary gland androgen regulated protein 3A	1	+	4	70360776	70367106	598	hg38_refGene	False
SMR3B_4_+_1	SMR3B	submaxillary gland androgen regulated protein 3B	1	+	4	70383078	70390244	785	hg38_refGene	False
PROL1_4_+_1	PROL1	proline rich, lacrimal 1	3	+	4	70397882	70410197	1099	hg38_refGene	False
MUC7_4_+_1	MUC7	mucin 7, secreted	3	+	4	70430492	70482997	2774	hg38_refGene	False
AMTN_4_+_1	AMTN	amelotin	2	+	4	70518572	70532743	1006	hg38_refGene	False
AMBN_4_+_1	AMBN	ameloblastin (enamel matrix protein)	1	+	4	70592258	70607287	2002	hg38_refGene	False
ENAM_4_+_1	ENAM	enamelin	1	+	4	70628744	70646819	5674	hg38_refGene	False
JCHAIN_4_-_1	JCHAIN		1	-	4	70655541	70666631	1409	hg38_refGene	False
UTP3_4_+_1	UTP3	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	1	+	4	70688479	70690551	2073	hg38_refGene	False
RUFY3_4_+_1	RUFY3	RUN and FYVE domain containing 3	5	+	4	70704937	70808622	7856	hg38_refGene	False
